 frequency       Hph1magdB       Hph2magdB      
 2.68800102e+03 -1.77672715e-01 -1.77672715e-01 
 2.70665207e+03 -1.79971498e-01 -1.79971498e-01 
 2.72543253e+03 -1.82297662e-01 -1.82297662e-01 
 2.74434330e+03 -1.84651467e-01 -1.84651467e-01 
 2.76338529e+03 -1.87033175e-01 -1.87033175e-01 
 2.78255940e+03 -1.89443047e-01 -1.89443047e-01 
 2.80186656e+03 -1.91881344e-01 -1.91881344e-01 
 2.82130768e+03 -1.94348330e-01 -1.94348330e-01 
 2.84088369e+03 -1.96844265e-01 -1.96844265e-01 
 2.86059554e+03 -1.99369414e-01 -1.99369414e-01 
 2.88044415e+03 -2.01924038e-01 -2.01924038e-01 
 2.90043049e+03 -2.04508402e-01 -2.04508402e-01 
 2.92055551e+03 -2.07122767e-01 -2.07122767e-01 
 2.94082017e+03 -2.09767397e-01 -2.09767397e-01 
 2.96122544e+03 -2.12442554e-01 -2.12442554e-01 
 2.98177229e+03 -2.15148501e-01 -2.15148501e-01 
 3.00246171e+03 -2.17885499e-01 -2.17885499e-01 
 3.02329468e+03 -2.20653811e-01 -2.20653811e-01 
 3.04427221e+03 -2.23453697e-01 -2.23453697e-01 
 3.06539530e+03 -2.26285418e-01 -2.26285418e-01 
 3.08666494e+03 -2.29149232e-01 -2.29149232e-01 
 3.10808217e+03 -2.32045400e-01 -2.32045400e-01 
 3.12964801e+03 -2.34974177e-01 -2.34974177e-01 
 3.15136348e+03 -2.37935822e-01 -2.37935822e-01 
 3.17322963e+03 -2.40930589e-01 -2.40930589e-01 
 3.19524751e+03 -2.43958731e-01 -2.43958731e-01 
 3.21741815e+03 -2.47020502e-01 -2.47020502e-01 
 3.23974263e+03 -2.50116153e-01 -2.50116153e-01 
 3.26222201e+03 -2.53245931e-01 -2.53245931e-01 
 3.28485737e+03 -2.56410085e-01 -2.56410085e-01 
 3.30764978e+03 -2.59608859e-01 -2.59608859e-01 
 3.33060034e+03 -2.62842497e-01 -2.62842497e-01 
 3.35371015e+03 -2.66111237e-01 -2.66111237e-01 
 3.37698031e+03 -2.69415320e-01 -2.69415320e-01 
